,content,score,time
1,야놀자 믿고 가는거야~떠나보는거야~~^^,5,2017-04-29
2,좋아요,5,2019-05-21
3,감사합니다,5,2018-02-27
4,초초초쵸특가야놀쟈!,5,2018-08-03
5,굿,5,2016-07-09
6,테마샾에 이런 앱 광고해서 깔라고 하는거 고쳐주엇음 하네요 예쁜 테마 까려다가 이런걸...;;,1,2017-07-16
7,빠른 예약 및 결재도 간편해서 좋아요.,5,2017-05-07
8,좋아요,5,2019-10-24
9,중요한순간잘이용했습니다.,5,2018-08-20
10,좋아요,5,2019-11-29
11,너무 편하고 좋아요 방 정보도 많고 무엇보다 캐스트 이거 대박 넘나 재밌어서 하루에도 몇번씩 앱 켜게 되네요 캐스트 너무 좋아요!!,5,2016-07-22
12,굿굿굿굿,4,2019-06-18
13,굿,5,2018-07-01
14,여기어때랑 급이다름,5,2019-11-28
15,최고최고,5,2015-12-18
16,여기저기 비교해도 여기가 제일 싼거같아요^^ 이번에 호캉스도 잘예약햇어요♡,5,2019-08-06
17,좋아요,5,2020-01-10
18,편함,4,2015-12-31
19,깨끗하고 좋아요~,5,2019-12-16
20,쵸ㅡ트까 야놀자,5,2019-08-19
21,좋네여 여행다니기 활 편해져서 좋아여,5,2018-03-06
22,예약도 되고 저렴한데 찾을 수 있어서좋아요,5,2017-08-14
23,멀져요 최고최고,3,2018-11-26
24,타사 어플보다 디자인이 깔끔해서 좋아요!,5,2019-07-03
25,좋네요??,5,2016-05-09
26,말이 필요없습니다 정말 좋아연,5,2016-11-08
27,노타요오오오오오,5,2019-05-28
28,최고의 숙박어플,5,2019-12-17
29,좋아요편해요할인많이되여,5,2020-09-01
30,좋습니다,4,2018-06-26
31,좋아요 ㅎㅎ,5,2019-01-12
32,공유하기가 없어진게 이해가안되네요;;;; 보기도 불편하고 공유도 안되고 완전 불편해요 공유하기 되살려내셈,2,2018-05-30
33,야놀자 추천숙박업소에서 대만족,5,2016-12-17
34,8만원을 6.75만원에 예약함 무슨말이 더 필요할까요,5,2019-07-03
35,사용하기 편하네요.,5,2020-09-19
36,할인에 간편예약굿,5,2017-04-24
37,숙소 도착후 주차불가로 취소하는데 상담원분께서 따로 연락주시고 몇번을 사과하시는... 숙소 구하기도 좋고 쿠폰도 많고 직원분이 친절해서 별다섯개!,5,2017-11-23
38,좋은거같아요 금방 괜찮은 데 찾아서 예약까지 했어요!!,4,2019-02-16
39,좋아요,5,2020-12-02
40,좋아요,3,2021-10-30
41,많은 할인행사와 정보가 많아서 좋습니다,5,2018-08-02
42,나쁘지않음,4,2021-11-16
43,출장이 잦은데.. 그때 마다 유용하게 사용합니다.,5,2019-06-26
44,모든종류의 객실을다볼수있고 쿠폰도주고 후기도볼수있어서좋네요,5,2019-11-11
45,다양하고 편리합니다,5,2021-03-09
46,굿숫,5,2017-09-27
47,편하고 실내안도 미리보고 결정할수잇어서 좋아요,5,2015-04-14
48,좋아요,5,2018-11-02
49,좋아요,5,2019-03-26
50,야놓자 잘사용하고있습니다 감사합니다,5,2018-01-19
51,넘좋음,5,2017-07-31
52,아주만족합니다,5,2020-10-15
53,할인이 좋네요ㅎㅎ 이번에 여자친구와 놀생각에 기뻐요 감사합니다.,5,2019-07-14
54,유용한거같아요,5,2017-06-19
55,좋아요최고,5,2019-07-09
56,좋아용,5,2019-02-11
57,방찾고나서 예약하러가면 방나가있고 인원추가도 알기어렵구... 왜 이중으로 일을 하게만드는지모르겠음,2,2016-08-20
58,좋아요,5,2021-04-05
59,유용하게 잘쓰고있어요~^^,4,2014-06-07
60,대실예약 정책 바뀐건가요? 전부 현장결제로 되어있네요,5,2018-05-31
61,애들데리고갈수있는곳 알아보는중입니다,4,2015-09-24
62,빠르고 편리함,5,2021-12-06
63,굿,5,2021-05-18
64,가격이 적당해요 바가지 아님ㅋ,4,2019-01-28
65,싼듯....,5,2020-10-28
66,정보를 알기쉽네요,5,2017-08-06
67,좋아요 좋은정보 감사합니다,5,2018-01-05
68,좋구만ㅋㅋ,5,2017-01-21
69,굿입니다 진짜 이밴트며 안심존이며 짱!,5,2016-03-28
70,좋아요,5,2019-07-20
71,좋다,5,2017-09-28
72,후기글 블라인드 처리하시고 후기글 써도 적립도 없고 엥간하믄 후기글 안쓰는데 진짜 아닌거 썼다가 블라인드 처리됨 ㅎㅎ 저 폰3개라 아무리 블라인드 하셔도 계속 쓸랍니다,3,2016-11-21
73,커플들 필수에요 저렴해요,4,2019-05-15
74,정말 편하게 잘쓰고 있습니다.,5,2018-02-24
75,만족합니다.,5,2020-08-06
76,좋아요 ㅋ,5,2018-10-17
77,저렴하고 간편함 앱디자인도 이쁨,5,2019-01-01
78,좋아요,4,2019-06-20
79,야놀자 편리하고 좋습니다.,5,2015-03-26
80,좋아요,5,2018-09-28
81,첫 이용자입니다 내일 가보고 알려드릴께요,5,2019-01-19
82,정말 좋아요! 가족여행땐 꼭 필요한 어플♡,5,2019-04-16
83,굿굿굿,4,2017-08-07
84,좋아요요요,5,2019-11-21
85,필요하리,5,2015-06-13
86,저렴하고 편안히 사용할 수 있네요. 쵝오!,5,2018-04-17
87,업데이트 하려고 하는데.. 대체 왜 이 어플이 카메라와 내 사진 등등에 관한 액세스 권한이 필요한건지 알수있을까요..,3,2016-07-09
88,처음 이용해보는데 좋네요~,5,2019-04-29
89,배리굿이내용,5,2015-12-01
90,좋아요,5,2019-06-10
91,굿,5,2015-09-04
92,좋네,5,2019-07-13
93,개굿,5,2020-01-02
94,굿입니대이하하,5,2020-01-15
95,편하네요,5,2018-12-24
96,좋아용,5,2018-02-24
97,좋습니다.,5,2018-09-27
98,좋아요,5,2019-12-02
99,굿굿,5,2022-01-28
100,다양한 할인 좋아요,4,2018-01-02
101,굿,5,2021-01-22
102,말이필요 없이 조아요,5,2017-04-23
103,야놀자!!!,4,2019-03-15
104,좋아요,5,2018-11-30
105,좋아용,5,2020-04-16
106,선택의 폭도 넗고 할인도 많고 빠르고 좋아요,5,2019-10-07
107,좋아요,5,2018-02-10
108,예약하기 편안해요,3,2019-08-02
109,뭐니뭐니해도 다른 어플보단 야놀자가 최고지,5,2016-07-04
110,좋아요 편해요 할인도 많아서 너무너무 좋습니다,4,2019-05-24
111,굿굿굿,5,2020-10-02
112,편함,4,2019-09-07
113,조아용,5,2019-07-05
114,최저가 좋은 호텔소개로 쉽게 예약했어요,5,2022-03-02
115,좋아요,4,2018-05-19
116,급하게 방을 잡는데도 현장구매보다 저렴히 구매할수 있어서 넘 좋아요,5,2022-04-29
117,좋네요.,5,2017-12-25
118,편함,5,2019-06-02
119,간편하고 가족여행에 도움되요~,5,2019-02-16
120,음...이건 데이터 써도 돼는건가??,2,2017-07-08
121,유튜브 광고 바꾸셈..,1,2017-10-02
122,깔끔하고 편하고 좋네요,5,2019-09-18
123,Good,5,2018-01-06
124,유용하게사용하고 있습니다.,5,2017-11-17
125,굿,5,2019-02-28
126,Good,5,2020-01-06
127,너무좋아요,5,2018-10-10
128,숙소를 빠르게 검색할 수 있고 예약도 편해서 좋아요~,5,2021-11-30
129,짱짱짱 좋아요,5,2020-04-03
130,좋아요.,5,2017-01-09
131,깨끗하고 좋아요,5,2022-06-13
132,자주 사용해요 좋어요,4,2018-10-16
133,굳,5,2019-11-24
134,굿,5,2021-10-03
135,차이결제최고예요,5,2019-12-30
136,쉽고 편해요 굿,5,2020-10-21
137,조아요~~~~~~~,5,2022-02-18
138,매번 너무 잘 사용하고있어요~,5,2020-01-17
139,편해요,5,2019-05-23
140,ㅈ,5,2014-05-17
141,좋습니다,5,2021-11-19
142,너무편하고 가격도 싸게 예약해서조아요,4,2017-09-22
143,직업군인인 남자친구와 여행가는데 당첨되면 좋겠네요^^,5,2015-11-26
144,전날에 한번 서치해가면 좋아요!,5,2014-08-14
145,좋아요,5,2017-09-22
146,매번잘사용하고있습니다,5,2019-12-15
147,할인받고조아요,5,2022-02-06
148,편합니다ㅡ,5,2019-03-20
149,쨩쇼♡,5,2015-07-20
150,최고ㅇ.ㅇ 진심,5,2019-04-25
151,여기가 경쟁사 허위비방하라고 시킨곳인가요?,1,2020-09-18
152,좋아요!!,5,2018-12-24
153,그냥참좋다,5,2015-11-20
154,잘 쓰고 있습니다,5,2019-07-06
155,쿠폰도 많고 좋습니다,4,2019-08-29
156,편하고 좋네요~~,5,2019-04-04
157,좋아요.,5,2019-08-14
158,굿굿,5,2019-01-29
159,네 편리해서요,5,2019-10-22
160,좋아요,5,2020-01-25
161,굿,5,2019-03-28
162,쿠폰 적용이 안되네요 적용중이라고만 뜨고 지웠다가 깔아도 적용이 안됩니다,1,2018-08-23
